"","domain","BA_hat","BA","model","sample_size"
"1","M333Aa",85.8531076360991,79.4154082554791,"rf",30
"2","M333Ab",123.177324801712,112.523482757723,"rf",30
"3","M333Ac",76.4709038792393,72.0588242700207,"rf",30
"4","M333Ad",118.028551012961,117.470592984026,"rf",30
"5","M333Ae",75.5707848293882,68.4801681671984,"rf",30
"6","M333Ag",83.8599268198979,81.2086165291663,"rf",30
"7","M333Ah",41.9224608707793,37.3880839806109,"rf",30
"8","M333Ai",46.7719646827266,37.3465107555587,"rf",30
"9","M333Aa",85.6485285890519,79.4154082554791,"rf",30
"10","M333Ab",126.60827236428,112.523482757723,"rf",30
"11","M333Ac",75.3600159472149,72.0588242700207,"rf",30
"12","M333Ad",125.867091462104,117.470592984026,"rf",30
"13","M333Ae",72.8891049341155,68.4801681671984,"rf",30
"14","M333Ag",84.3988587043854,81.2086165291663,"rf",30
"15","M333Ah",37.2106930348465,37.3880839806109,"rf",30
"16","M333Ai",41.4704472640103,37.3465107555587,"rf",30
"17","M333Aa",83.0559040635322,79.4154082554791,"rf",30
"18","M333Ab",118.106006578744,112.523482757723,"rf",30
"19","M333Ac",80.1284214621642,72.0588242700207,"rf",30
"20","M333Ad",118.927082490213,117.470592984026,"rf",30
"21","M333Ae",75.0357432147555,68.4801681671984,"rf",30
"22","M333Ag",82.3801933331008,81.2086165291663,"rf",30
"23","M333Ah",42.7214465829201,37.3880839806109,"rf",30
"24","M333Ai",44.27767137484,37.3465107555587,"rf",30
"25","M333Aa",75.9121582240232,79.4154082554791,"rf",30
"26","M333Ab",102.387978443632,112.523482757723,"rf",30
"27","M333Ac",70.5829577606147,72.0588242700207,"rf",30
"28","M333Ad",107.483977045625,117.470592984026,"rf",30
"29","M333Ae",66.6918984033017,68.4801681671984,"rf",30
"30","M333Ag",76.043030812476,81.2086165291663,"rf",30
"31","M333Ah",34.8376489243811,37.3880839806109,"rf",30
"32","M333Ai",38.7246858342912,37.3465107555587,"rf",30
"33","M333Aa",81.6309048041281,79.4154082554791,"rf",30
"34","M333Ab",113.539251135737,112.523482757723,"rf",30
"35","M333Ac",77.8712476205949,72.0588242700207,"rf",30
"36","M333Ad",119.849635877131,117.470592984026,"rf",30
"37","M333Ae",71.1893659032653,68.4801681671984,"rf",30
"38","M333Ag",79.9627723188985,81.2086165291663,"rf",30
"39","M333Ah",36.5353703183839,37.3880839806109,"rf",30
"40","M333Ai",40.0518726633568,37.3465107555587,"rf",30
"41","M333Aa",82.046126214039,79.4154082554791,"rf",30
"42","M333Ab",106.21551478969,112.523482757723,"rf",30
"43","M333Ac",80.6144577565934,72.0588242700207,"rf",30
"44","M333Ad",118.280922155877,117.470592984026,"rf",30
"45","M333Ae",74.0802458016494,68.4801681671984,"rf",30
"46","M333Ag",82.9845296630579,81.2086165291663,"rf",30
"47","M333Ah",45.2177392423705,37.3880839806109,"rf",30
"48","M333Ai",46.7342374802578,37.3465107555587,"rf",30
